"instanceType","name","datatype","isRequired","isEnabled","uuid:ID","label","id"
"BiomedicalConceptProperty","VSLOC","","True","True","c4d49c21-2003-4a52-8e6c-7bdec9779b1a","VSLOC","BiomedicalConceptProperty_102"
"BiomedicalConceptProperty","VSLAT","","True","True","75d7a093-ab29-4ec8-b54d-0c766a34e0db","VSLAT","BiomedicalConceptProperty_103"
"BiomedicalConceptProperty","VSTESTCD","","True","True","9e5b759e-66a1-48e0-87e9-dd6df07387b6","VSTESTCD","BiomedicalConceptProperty_104"
"BiomedicalConceptProperty","VSORRES","integer","True","True","59396d49-2bb5-4675-b000-edfe086b481c","VSORRES","BiomedicalConceptProperty_105"
"BiomedicalConceptProperty","VSORRESU","","True","True","570e4e54-8f5f-400c-a602-ad5ae06a45b7","VSORRESU","BiomedicalConceptProperty_106"
"BiomedicalConceptProperty","VSPOS","","True","True","0c72c561-03e6-4212-afa2-05a7b9a5ef1e","VSPOS","BiomedicalConceptProperty_107"
"BiomedicalConceptProperty","VSLOC","","True","True","08472203-d5d1-43cb-a5e8-16fa892a0cbe","VSLOC","BiomedicalConceptProperty_108"
"BiomedicalConceptProperty","VSLAT","","True","True","624c464d-27e0-45e7-baa7-d29afc393cd3","VSLAT","BiomedicalConceptProperty_109"
"BiomedicalConceptProperty","VSTESTCD","","True","True","37cc26c4-6015-43c2-927e-d1de6e38f16d","VSTESTCD","BiomedicalConceptProperty_110"
"BiomedicalConceptProperty","VSORRES","integer","True","True","78408c32-f9b8-4538-8ac1-82d2866b080c","VSORRES","BiomedicalConceptProperty_111"
"BiomedicalConceptProperty","VSORRESU","","True","True","45006200-6402-4c24-800b-424836f7c0c5","VSORRESU","BiomedicalConceptProperty_112"
"BiomedicalConceptProperty","VSPOS","","True","True","6d755453-88fe-4d17-aaa4-5c18acb81810","VSPOS","BiomedicalConceptProperty_113"
"BiomedicalConceptProperty","VSLOC","","True","True","696a5a66-7675-4ba5-a18e-dd42fda930bc","VSLOC","BiomedicalConceptProperty_114"
"BiomedicalConceptProperty","VSLAT","","True","True","5eadbe72-6d47-4c2d-8ea9-7deb3e0a1071","VSLAT","BiomedicalConceptProperty_115"
